arm,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,w_ic,w_bc,gnorm_r,gnorm_ic,gnorm_bc
sym_w=1,2,3000,1.726313e-04,4.254017e-05,9.251132e-05,3.757979e-05,4.851341e-03,1.000000e+00,1.000000e+00,1.055674e-02,8.035562e-03,1.493235e-02
sym_w=10,0,0,5.479618e+00,8.854827e-02,5.196859e-01,1.942101e-02,7.694667e-01,1.000000e+01,1.000000e+01,2.125204e+00,4.032662e+00,6.365021e-01
sym_w=10,0,250,4.449866e-02,1.165561e-02,3.128374e-03,1.559301e-04,3.770317e-02,1.000000e+01,1.000000e+01,3.506718e-01,1.860590e-01,1.335436e-01
sym_w=10,0,500,3.085882e-02,4.525727e-03,2.253137e-03,3.801724e-04,4.360207e-02,1.000000e+01,1.000000e+01,2.216865e-01,2.638480e-01,2.266849e-01
sym_w=10,0,750,2.129277e-02,3.324130e-03,1.621366e-03,1.754975e-04,2.541223e-02,1.000000e+01,1.000000e+01,2.218582e-01,1.302120e-01,1.295316e-01
sym_w=10,0,1000,1.691224e-02,2.551335e-03,1.287830e-03,1.482606e-04,2.188225e-02,1.000000e+01,1.000000e+01,1.892349e-01,1.096629e-01,1.169844e-01
sym_w=10,0,1250,2.670112e-02,2.378363e-03,1.230013e-03,1.202263e-03,4.140775e-02,1.000000e+01,1.000000e+01,4.062309e-01,1.642178e-01,4.583587e-01
sym_w=10,0,1500,1.018641e-02,1.389667e-03,7.776974e-04,1.019771e-04,1.556495e-02,1.000000e+01,1.000000e+01,1.368576e-01,8.249671e-02,8.585084e-02
sym_w=10,0,1750,9.094290e-03,8.543232e-04,5.525436e-04,2.714532e-04,2.716519e-02,1.000000e+01,1.000000e+01,8.129174e-02,9.407840e-02,2.179693e-01
sym_w=10,0,2000,1.184886e-02,9.479992e-04,4.098690e-04,6.802165e-04,9.040509e-02,1.000000e+01,1.000000e+01,1.486587e-01,1.100507e-01,3.503327e-01
sym_w=10,0,2250,5.167622e-03,5.784531e-04,2.647325e-04,1.941843e-04,1.788615e-02,1.000000e+01,1.000000e+01,1.569631e-01,5.054395e-02,1.713839e-01
sym_w=10,0,2500,2.366946e-03,4.179740e-04,1.553689e-04,3.952830e-05,5.678784e-03,1.000000e+01,1.000000e+01,4.047925e-02,1.396514e-02,3.867691e-02
sym_w=10,0,2750,1.648558e-03,3.379744e-04,1.014172e-04,2.964122e-05,4.400783e-03,1.000000e+01,1.000000e+01,5.057387e-02,1.582952e-02,1.917749e-02
sym_w=10,0,3000,1.208726e-03,3.196459e-04,6.690638e-05,2.200167e-05,3.686675e-03,1.000000e+01,1.000000e+01,5.378707e-02,9.020432e-03,1.134964e-02
sym_w=10,1,0,7.023033e+00,2.589028e-02,6.840348e-01,1.567944e-02,7.093086e-01,1.000000e+01,1.000000e+01,1.390463e+00,5.149986e+00,1.087909e+00
sym_w=10,1,250,4.686595e-02,1.173507e-02,3.334421e-03,1.786668e-04,4.411119e-02,1.000000e+01,1.000000e+01,3.907005e-01,1.832593e-01,1.441299e-01
sym_w=10,1,500,3.083537e-02,4.768374e-03,2.338614e-03,2.680864e-04,3.345394e-02,1.000000e+01,1.000000e+01,2.936147e-01,1.585172e-01,1.740380e-01
sym_w=10,1,750,6.368845e-02,5.478011e-03,4.362133e-03,1.458911e-03,1.411973e-01,1.000000e+01,1.000000e+01,5.786765e-01,8.337730e-01,5.315075e-01
sym_w=10,1,1000,1.829332e-02,2.566642e-03,1.401338e-03,1.713304e-04,2.264610e-02,1.000000e+01,1.000000e+01,2.022237e-01,1.260586e-01,1.260041e-01
sym_w=10,1,1250,1.349980e-02,1.728788e-03,1.038665e-03,1.384359e-04,1.851280e-02,1.000000e+01,1.000000e+01,1.601998e-01,1.070375e-01,1.077708e-01
sym_w=10,1,1500,9.174468e-03,1.136896e-03,6.972887e-04,1.064684e-04,1.405705e-02,1.000000e+01,1.000000e+01,1.131718e-01,8.713334e-02,8.700991e-02
