d,seed,step,loss,loss_r,loss_tc,loss_bc,rel_sd,stderr_sd,rel_rms,train_seconds
4,1,1500,5.949238e-03,4.525628e-03,7.567435e-04,6.668672e-04,4.720022e-02,1.035669e-04,2.111129e-02,92.8255
4,1,1750,4.281653e-03,3.305357e-03,5.011046e-04,4.751907e-04,4.023984e-02,8.627327e-05,1.799811e-02,108.4312
4,1,2000,4.964067e-03,3.677185e-03,5.255234e-04,7.613582e-04,5.757369e-02,1.016270e-04,2.575104e-02,123.4703
4,1,2250,2.862706e-03,2.189150e-03,3.575241e-04,3.160320e-04,3.215636e-02,6.625952e-05,1.438261e-02,138.0096
4,1,2500,4.511263e-03,2.789367e-03,5.037200e-04,1.218176e-03,7.101545e-02,9.988128e-05,3.176315e-02,153.2437
4,1,2750,1.759693e-03,1.341613e-03,2.111922e-04,2.068876e-04,2.913644e-02,6.129262e-05,1.303189e-02,168.8843
4,1,3000,1.376249e-03,1.091131e-03,1.477777e-04,1.373407e-04,2.309007e-02,4.938212e-05,1.032752e-02,184.0732
4,1,3250,1.421233e-03,1.049160e-03,1.408776e-04,2.311952e-04,2.415175e-02,5.228045e-05,1.080238e-02,199.5911
4,1,3500,1.171937e-02,3.075841e-03,3.324300e-03,5.319228e-03,1.580402e-01,9.837231e-05,7.068680e-02,214.5507
4,1,3750,1.506485e-02,1.216031e-02,1.619673e-04,2.742577e-03,9.853116e-02,1.531568e-04,4.407013e-02,248.3922
4,1,4000,1.736620e-03,7.242670e-04,5.914254e-04,4.209274e-04,7.017768e-02,7.012143e-05,3.138844e-02,264.4742
4,1,4250,6.556524e-04,5.336649e-04,6.444135e-05,5.754615e-05,1.440087e-02,3.479893e-05,6.441090e-03,281.1776
4,1,4500,6.204376e-04,5.014901e-04,6.302453e-05,5.592301e-05,1.457804e-02,3.488288e-05,6.520336e-03,297.1402
4,1,4750,1.516911e-03,1.246126e-03,1.329894e-04,1.377959e-04,1.650075e-02,3.985311e-05,7.380308e-03,314.2606
4,1,5000,1.115539e-03,7.321522e-04,1.004819e-04,2.829047e-04,2.705777e-02,3.894817e-05,1.210216e-02,328.9635
