model,step,k,coeff
fourier,6800,4,1.001234
fourier,6800,8,1.001181
fourier,6800,16,1.000985
fourier,6800,32,1.000456
fourier,6900,1,0.999292
fourier,6900,2,1.000996
fourier,6900,4,0.998924
fourier,6900,8,0.999900
fourier,6900,16,0.999542
fourier,6900,32,0.999909
fourier,7000,1,1.005249
fourier,7000,2,1.006851
fourier,7000,4,0.996739
fourier,7000,8,1.000416
fourier,7000,16,1.000175
fourier,7000,32,1.000295
fourier,7100,1,0.997786
fourier,7100,2,0.995901
fourier,7100,4,0.997551
fourier,7100,8,0.998092
fourier,7100,16,0.998666
fourier,7100,32,0.999018
fourier,7200,1,1.003687
fourier,7200,2,1.003569
fourier,7200,4,1.003867
fourier,7200,8,1.000728
fourier,7200,16,1.001922
